afka	mouth	noun			afkayga	my mouth
albaab	door	noun			xidh albaabka	close the door
araanjo	orange	noun			saddex araanjo	three oranges
araanjo	orange	noun			araanjo saddex	three oranges
ayga	my	possessive			gurigayga	my house
baabuur	car	noun			kaxee baabuur	drive a car
baaldi	bucket	noun			baaldigu wuu darrooraa	the bucket leaks
baaskiil	bicycle	noun			baaskiil cusub	new bicycle
balanbaalis	butterfly	noun			balanbaalistu way qurux badantahay	a butterfly is beautiful
beed	egg	noun			beedka digaaga	chicken egg
berri	tomorrow	adverb				she will arrive tomorrow
biibiile	balloon	noun			laba biibiile	two balloons
bileedh	plate	noun			meydh bileedhkaaga	wash your plate
birkin	pillow	noun			birkin iyo sariir	pillow and bed
bisad	cat	noun			bisadu waxay leedahay dabo	a cat has a tail
biyo	water	noun			waxaad cabtaa biyo	you drink water
buste	blanket	noun			buste qoyan	wet blanket
buug	book	noun			buugan	this book
caaro	spider	noun			xuubka caarada	spider's web
caday	toothbrush	noun			caday iyo dawo caday	toothbrush and toothpaste
cadceed	sun	noun			cadceedu way dhalaalaysaa	the sun is shining
caleen	leaf	noun			caleen cagaaran	green leaf
cambe	mango	noun			cambuhu wuu bislaaday	the mango has ripened
caruusad	doll	noun			caruusadayda	my doll
cas	red	adjective			bushimo cas	red lips
cun	eat	verb			si aad wax kasta u cunto	to eat everything
cunto	food	noun			cun cunto	eat food
daanyeer	monkey	noun			daanyeerku wuxuu jecelyay muuska	a monkey likes bananas
daaqad	window	noun			fur daaqadaha	open the windows
dacas	slippers	noun			waxaad xidhan tahay dacas	you are wearing slippers
daruur	cloud	noun			daruur cad	a white cloud
dawo caday	toothpaste	noun			caday iyo dawo caday	toothbrush and toothpaste
dayax	moon	noun			dayax iyo xiddigo	moon and stars
dhar	clothes	noun			Iibso dhar	buy clothes
digaagad	chicken	noun			hilib digaag	chicken meat
digir	bean	noun			bariis iyo digir	rice and beans
diyaarad	aeroplane	noun			laba diyaaradood	two aeroplanes
doon	boat	noun			doon cas	red boat
farageeto	fork	noun			farageeto iyo midi	fork and knife
faras	horse	noun			faras cad	white horse
gabadh	woman	noun			gabadh qurux badan	a pretty woman
gabar	girl	noun			gabar dheer	tall girl
geed	tree	noun			beer geed	plant a tree
geri	giraffe	noun			gerigu waa xayawaan	a giraffe is an animal
guri	house	noun			guriga	the house
guumeys	owl	noun			guumeystu waa shimbir	an owl is a bird
hadiyada	gift	noun			hadiyad wanaagsan	a good gift
halkan	here	adverb				click here
haye	yes	exclamation				I say yes
hilib	meat	noun			hilibka riyaha	goat meat
hoos	down	adverb				go down
idaha	sheep	noun			hilibka idaha	sheep meat (i.e. mutton)
il	eye	noun			il iyo sunayaal	eye and eyebrow
ilmo	baby	noun			waxaan leeyahay ilmo	I have a baby
iyo	and	conjunction			Kofi iyo Ama	Kofi and Ama
jeer	hippopotamus	noun		also called a hippo	jeertu waxay leeday calool weyn	a hippopotamus has a big stomach
jiir	mouse	noun			jiir weyn	a big mouse
ka	from	preposition			ka tag halkan	go from here
kabo	shoe	noun		footwear that covers all of the foot	xidho kabohaaga	wear your shoes
kalluun	fish	noun			kalluun la shiilay	fried fish
koob	cup	noun			koobka shaaha	tea cup
ku socota	to	preposition			xagan ka timi ku socota halkaa	from here to there
kursi	chair	noun			habbee Kuraasta	arrange the chairs
kuumbuyuuter	computer	noun			kiiboodhka kuumbuyuuterka	computer keyboard
lo'	cow	noun			hilibka lo'da	cow meat; beef
maantay	today	adverb				she arrives today
mafiiq	broom	noun			mafiiq iyo jaqaf	broom and dustpan
magac	name	noun			magacayga	my name
malqaacad	spoon	noun			lix iyo toban malqaacadood	sixteen spoons
maroodi	elephant	noun			maroodigu aadbuu u weyn yahay	an elephant is very big
mas	snake	noun			masku malaha cago	a snake has no legs
maya	no	exclamation				I say no
midi	knife	noun			afee midi	sharpen a knife
miis	table	noun			kursi iyo miis	chair and table
mise	or	conjunction			Kofi mise Ama	Kofi or Ama
muraayad	mirror	noun			muraayad weyn	big mirror
muus	banana	noun			daanyeerku wuxuu jecelyay muuska	a monkey likes bananas
nin	man	noun			nin dheer	a tall man
qalin	pencil	noun			qalin iyo qalin	pencil and pen
quruurad	bottle	noun			shan quruuradood	five bottles
rah	frog	noun			rahu wuxuu jecel yahay biyaha	a frog likes water
ri'	goat	noun			ri' iyo ido	a goat and a sheep
rooti	bread	noun			rooti jilicsan	soft bread
saabuun	soap	noun			baag iyo saabuun	pail and soap
sacfaraan	toffee	noun			muudso sacfaraan	lick a toffee
sanduuq	box	noun			sanduuqa A ayaa ka weyn sanduuqa B	box A is bigger than box B
sariir	bed	noun			Ku seexo sariirta	sleep on the bed
sawir	picture	noun			sawir qurux badan	beautiful picture
seexasho	sleep	verb			si aad u seexato habeenkii	to sleep at night
shalay	yesterday	adverb				she arrived yesterday
shilin	coin	noun			afar shilin	four coins
shimbir	bird	noun			shimbirtu way duushaa	a bird flies
shinni	bee	noun			shinni badan	many bees
shukumaan	towel	noun			shukumaan qoyan	wet towel
ta	the	determiner			guriga	the house
tareen	train	noun			tareen cusub	new train
telefishan	television	noun			shid telefishanka	switch on the television
telefoon	phone	noun			telefoonkeeda	her phone
ubax	flower	noun			ubax qurux badan	pretty flower
wiil	boy	noun			wiilku halkan ayuu joogaa	the boy is here
xabuub	tomato	noun			laba xabuub	two tomatoes
xiddig	star	noun			xiddigo badan	plenty of stars
yaxaas	alligator	noun			yaxaasku wuxuu leeyahay dabo	an alligator has a tail
